NRORDEM,IDPEDIDOPNEU,CLIENTE,NRSERIE,DESENHO,STATUS,DATA_ENTRADA,DATA_SAIDA,LOCAL_PALLET
366848,366848,GLASSER PISOS E PRE-MOLDADOS LTDA.,4525D,700X12 PM VI600 162,Aguardando,02/06/2026,,
366848,366848,GLASSER PISOS E PRE-MOLDADOS LTDA.,3925,700X12 PM VI600 162,Aguardando,02/06/2026,,
366848,366848,GLASSER PISOS E PRE-MOLDADOS LTDA.,619,8.25X15 PM VI600 162,Aguardando,02/06/2026,,
366848,366848,GLASSER PISOS E PRE-MOLDADOS LTDA.,608,700X12 PM VI600 162,Aguardando,02/06/2026,,
366848,366848,GLASSER PISOS E PRE-MOLDADOS LTDA.,618,8.25X15 PM VI600 162,Aguardando,02/06/2026,,
366848,366848,GLASSER PISOS E PRE-MOLDADOS LTDA.,601,8.25X15 PM VI600 162,Aguardando,02/06/2026,,
366848,366848,GLASSER PISOS E PRE-MOLDADOS LTDA.,587,8.25X15 PM VI600 162,Aguardando,02/06/2026,,
366848,366848,GLASSER PISOS E PRE-MOLDADOS LTDA.,597,8.25X15 PM VI600 162,Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,058666,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,042266,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,048649,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,050052,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,054940,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,054941,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,054939,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,054810,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,054815,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,054817,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,054813,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,050711,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,056707,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,053911,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,058905,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,059336,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366860,366860,BRASPRESS TRANSPORTES URGENTES LTDA,047217,"295/80R22,5 PM VL110LA 242",Aguardando,02/06/2026,,
366861,366861,BRASPRESS TRANSPORTES URGENTES LTDA,056304,"215/75R17,5 PM VZE-1 190",Aguardando,02/06/2026,,
366861,366861,BRASPRESS TRANSPORTES URGENTES LTDA,056305,"215/75R17,5 PM VZE-1 190",Aguardando,02/06/2026,,
366861,366861,BRASPRESS TRANSPORTES URGENTES LTDA,044521,"215/75R17,5 PM VZE-1 190",Aguardando,02/06/2026,,
366861,366861,BRASPRESS TRANSPORTES URGENTES LTDA,051853,"215/75R17,5 PM VZE-1 190",Aguardando,02/06/2026,,
366861,366861,BRASPRESS TRANSPORTES URGENTES LTDA,051857,"215/75R17,5 PM VZE-1 190",Aguardando,02/06/2026,,
366861,366861,BRASPRESS TRANSPORTES URGENTES LTDA,051656,"215/75R17,5 PM VZE-1 190",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,51,"275/80R22,5 PM DVUM3 B 242",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,6494,"275/80R22,5 PM DVUM3 B 242",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,6561,"275/80R22,5 PM DVUM3 B 242",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,57,"275/80R22,5 PM DVUM3 B 242",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,6666,"275/80R22,5 PM DVUM3 B 242",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,6864,"275/80R22,5 PM DVUM3 B 242",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7148,"275/80R22,5 PM DVUM3 B 242",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7149,"275/80R22,5 PM DVUM3 B 242",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,6654,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7009,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7300,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7175,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7164,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7239,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7196,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,7008,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,6660,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366864,366864,VIAÇÃO TRANSDUTRA LTDA,6661,"275/80R22,5 PM DVUM3 B 226",Aguardando,02/06/2026,,
366865,366865,MARAJA TRANSP. E LOGISTICA LTDA,4324,"295/80R22,5 REPARO VULC",Aguardando,02/06/2026,,
366865,366865,MARAJA TRANSP. E LOGISTICA LTDA,5184,600X09 PM VI600 154,Aguardando,02/06/2026,,
366865,366865,MARAJA TRANSP. E LOGISTICA LTDA,5325,600X09 PM VI600 154,Aguardando,02/06/2026,,
